Ticker,Empresa,setor_original,Setor,PL,PVP,ROE,DivYield,MarketCap,Preco,Categoria,Score,PrecoJusto,Desconto_%,Ranking,Risco,Farol
TAEE4,TAESA       PN      N2,Utilities,Utilidades Públicas,8.718563,0.6560627,0.23587999,0.0748,15047712691.432484,14.5600004196167,Mid Caps,100,27.33,87.70603854638814,64.0,Baixo,🟢
TAEE3,TAESA       ON      N2,Utilities,Utilidades Públicas,8.54491,0.64299554,0.23587999,0.0766,14794879628.871136,14.270000457763672,Mid Caps,100,27.33,91.52066659627162,64.0,Baixo,🟢
ENGI4,ENERGISA    PN      N2,Utilities,Utilidades Públicas,7.9389315,0.21514718,0.19867,0.0642,31082739816.691856,10.399999618530273,Mid Caps,100,31.2,100.0,58.0,Baixo,🟢
CYRE3,CYRELA REALTON      NM,Consumer Cyclical,Consumo Cíclico,5.7539682,1.0181512,0.20085,0.1367,10624058795.0,29.0,Mid Caps,100,64.62,100.0,58.0,Baixo,🟢
PETR4,PETROBRAS   PN  ATZ N2,Energy,Energia,5.1760387,1.3124614,0.28176,0.1075,545708947067.40454,42.34000015258789,Blue Chips,100,68.74,62.352384866013026,58.0,Baixo,🟢
BSLI4,BRB BANCO   PN,Financial Services,Serviços Financeiros,2.128713,0.52464616,0.25134,0.149,2090578766.8316832,4.300000190734863,Small Caps,85,12.9,100.0,58.0,Baixo,🟢
BPAC5,BTGP BANCO  PNA     N2,Financial Services,Serviços Financeiros,8.1285715,0.78272235,0.23868,0.0421,131867511425.18184,11.380000114440918,Blue Chips,85,18.47,62.30228307785393,58.0,Baixo,🟢
BSLI3,BRB BANCO   ON,Financial Services,Serviços Financeiros,2.371287,0.5844314,0.25134,0.1242,2374388045.8706646,4.789999961853027,Small Caps,85,14.37,100.0,58.0,Baixo,🟢
JHSF3,JHSF PART   ON  ED  NM,Real Estate,Imobiliário,4.8736844,0.981244,0.20974001,0.09029999999999999,6192274726.876066,9.260000228881836,Small Caps,85,17.81,92.33260863699344,58.0,Baixo,🟢
PETR3,PETROBRAS   ON      N2,Energy,Energia,5.650367,1.4327341,0.28176,0.0992,595717243946.7363,46.220001220703125,Blue Chips,100,68.74,48.72349239404517,54.0,Baixo,🟢
BRSR6,BANRISUL    PNB     N1,Financial Services,Serviços Financeiros,4.3031025,0.6433542,0.1567,0.08289999999999999,7373810101.130487,18.030000686645508,Small Caps,85,40.74,100.0,52.0,Baixo,🟢
CEAB3,CEA MODAS   ON      NM,Consumer Cyclical,Consumo Cíclico,6.4232807,0.9919922,0.16736999,0.0797,3677380118.7573833,12.140000343322754,Small Caps,85,25.55,100.0,52.0,Baixo,🟢
EMAE4,EMAE        PN,Utilities,Utilidades Públicas,5.7347927,1.1231564,0.23438999,0.0978,4027887194.388382,47.13999938964844,Small Caps,85,85.58,81.5443383709349,52.0,Baixo,🟢
BAZA3,AMAZONIA    ON,Financial Services,Serviços Financeiros,4.0869565,0.6584102,0.15239,0.0935,4795228316.42292,85.54000091552734,Small Caps,85,194.96,100.0,52.0,Baixo,🟢
BNBR3,NORD BRASIL ON,Financial Services,Serviços Financeiros,4.189993,0.7614875,0.19412,0.0504,11819295062.5,119.75,Mid Caps,100,254.81,100.0,52.0,Baixo,🟢
ABCB4,ABC BRASIL  PN      N2,Financial Services,Serviços Financeiros,5.0392523,0.9619982,0.15463,0.11810000000000001,6508060499.554527,26.959999084472656,Small Caps,85,45.7,69.51039151303408,52.0,Baixo,🟢
VTRU3,VITRUEDUCA  ON      NM,Consumer Defensive,Consumo Defensivo,6.4954123,0.6675781,0.18058,0.16,1892519790.2462425,14.15999984741211,Small Caps,85,39.76,100.0,52.0,Baixo,🟢
BRSR3,BANRISUL    ON      N1,Financial Services,Serviços Financeiros,4.486873,0.6708296,0.1567,0.0702,7688719855.577236,18.799999237060547,Small Caps,85,40.74,100.0,52.0,Baixo,🟢
BRSR5,BANRISUL    PNA     N1,Financial Services,Serviços Financeiros,4.484487,0.67047286,0.1567,0.0679,7684630797.257317,18.790000915527344,Small Caps,85,40.74,100.0,52.0,Baixo,🟢
ENGI3,ENERGISA    ON      N2,Utilities,Utilidades Públicas,9.755726,0.26438278,0.19867,0.0524,32136520271.870758,12.779999732971191,Mid Caps,100,38.34,100.0,52.0,Baixo,🟢
CEEB5,COELBA      PNA,Utilities,Utilidades Públicas,5.2558784,1.2690779,0.25589,0.0526,9959651306.0,38.0,Small Caps,85,70.88,86.52631578947367,46.0,Baixo,🟢
POMO3,MARCOPOLO   ON      N2,Industrials,Indústria,6.132653,1.8953012,0.30973,0.1938,7455954766.228844,6.010000228881836,Small Caps,60,10.45,73.87686525836004,46.0,Baixo,🟢
SHUL4,SCHULZ      PN,Consumer Cyclical,Consumo Cíclico,7.328767,1.2298851,0.17659001,0.0796,1907565037.64634,5.349999904632568,Small Caps,85,9.5,77.5700966232531,46.0,Baixo,🟢
SAPR4,SANEPAR     PN      N2,Utilities,Utilidades Públicas,6.2790704,0.19826701,0.17944999,0.0282,12240765280.379156,8.100000381469727,Mid Caps,85,24.3,100.0,46.0,Baixo,🟢
SAPR3,SANEPAR     ON      N2,Utilities,Utilidades Públicas,7.372093,0.23278014,0.17944999,0.022099999999999998,14371564831.577494,9.510000228881836,Mid Caps,85,28.53,100.0,46.0,Baixo,🟢
CEEB3,COELBA      ON,Utilities,Utilidades Públicas,6.5006914,1.569649,0.25589,0.0425,12318516089.0,47.0,Mid Caps,60,70.88,50.808510638297854,46.0,Baixo,🟢
GMAT3,GRUPO MATEUSON      NM,Consumer Cyclical,Consumo Cíclico,6.5000005,1.2023784,0.18402,0.04769999999999999,12558260098.399853,5.460000038146973,Mid Caps,85,10.46,91.57509023662827,46.0,Baixo,🟢
ISAE4,ISA ENERGIA PN  EJ  N1,Utilities,Utilidades Públicas,7.733871,0.89620584,0.12099,0.0934,18956072957.69284,28.770000457763672,Mid Caps,80,45.8,59.19360191612624,46.0,Baixo,🟢
POMO4,MARCOPOLO   PN      N2,Industrials,Indústria,6.5204077,2.0151372,0.30973,0.1807,7927379059.2831745,6.389999866485596,Small Caps,60,10.45,63.53677962981465,46.0,Baixo,🟢
KLBN3,KLABIN S/A  ON      N2,Basic Materials,Materiais Básicos,17.391304,0.62237436,0.14569001,0.0828,24540765668.0,4.0,Mid Caps,55,6.41,60.25,46.0,Baixo,🟢
KLBN4,KLABIN S/A  PN      N2,Basic Materials,Materiais Básicos,17.304348,0.61926246,0.14569001,0.08349999999999999,24418061956.67949,3.9800000190734863,Mid Caps,55,6.41,61.05527561007899,46.0,Baixo,🟢
ISAE3,ISA ENERGIA ON  EJ  N1,Utilities,Utilidades Públicas,8.604838,0.99713403,0.12099,0.0824,21090853455.12625,32.0099983215332,Mid Caps,80,45.8,43.08029491269991,42.0,Baixo,🟢
VLID3,VALID       ON      NM,Industrials,Indústria,6.930921,0.96034634,0.14046,0.1577,1651355853.231926,21.06999969482422,Small Caps,65,43.0,100.0,40.0,Baixo,🟢
CSED3,CRUZEIRO EDUON      NM,Consumer Defensive,Consumo Defensivo,9.507246,1.4439796,0.16102,0.0432,2391399126.820708,6.559999942779541,Small Caps,70,10.13,54.420733054272155,40.0,Baixo,🟢
SANB3,SANTANDER BRON,Financial Services,Serviços Financeiros,9.791411,0.47630417,0.10524,0.0548,121457280303.74248,15.960000038146973,Blue Chips,80,33.32,100.0,40.0,Baixo,🟢
OFSA3,OUROFINO S/AON      NM,Healthcare,Saúde,9.783582,1.7692307,0.28625,0.0387,1409786618.6207142,26.219999313354492,Small Caps,45,44.15,68.38291821584188,40.0,Baixo,🟢
EQPA3,EQTL PARA   ON,Utilities,Utilidades Públicas,8.5199995,2.7818894,0.3318,0.1036,14119945106.214006,6.389999866485596,Mid Caps,75,6.99,9.389673647120045,40.0,Baixo,🟢
LOGG3,LOG COM PROPON      NM,Real Estate,Imobiliário,6.9287467,0.68030494,0.100439996,0.14529999999999998,2465081070.691757,28.200000762939453,Small Caps,65,47.41,68.12056282745354,40.0,Baixo,🟢
SUZB3,SUZANO S.A. ON      NM,Basic Materials,Materiais Básicos,5.158965,1.5746565,0.35192,0.0204,68998925789.77318,55.81999969482422,Blue Chips,60,94.88,69.97492031301019,40.0,Baixo,🟢
RECV3,PETRORECSA  ON      NM,Energy,Energia,5.9339623,0.8076528,0.13571,0.1496,3691519912.9621468,12.600000381469727,Small Caps,65,21.33,69.28570916052593,40.0,Baixo,🟢
ECOR3,ECORODOVIAS ON      NM,Industrials,Indústria,7.5454545,1.6465532,0.22025,0.0323,6928387437.495844,9.960000038146973,Small Caps,45,15.51,55.72289096984369,40.0,Baixo,🟢
CMIG4,CEMIG       PN      N1,Utilities,Utilidades Públicas,5.232456,1.1878921,0.1416,0.1413,37633798508.54267,11.930000305175781,Mid Caps,80,21.64,81.39144548564326,40.0,Baixo,🟢
SANB4,SANTANDER BRPN,Financial Services,Serviços Financeiros,10.07362,0.49003226,0.10524,0.0582,124957929015.48495,16.420000076293945,Blue Chips,55,33.32,100.0,40.0,Baixo,🟢
INTB3,INTELBRAS   ON      NM,Technology,Tecnologia,9.439189,1.5555061,0.1566,0.10189999999999999,4571960031.590481,13.970000267028809,Small Caps,60,35.33,100.0,40.0,Baixo,🟢
LAVV3,LAVVI       ON      NM,Real Estate,Imobiliário,7.5381365,2.253896,0.28968,0.1092,3476777318.795494,17.790000915527344,Small Caps,60,20.73,16.526132283144435,38.0,Baixo,🟢
