Ticker,Empresa,setor_original,Setor,PL,PVP,ROE,DivYield,MarketCap,Preco,Categoria,Score,LucroPorAcao,PrecoJusto,Desconto_%,Ranking,Risco,Farol
BSLI4,BRB BANCO   PN,Financial Services,Serviços Financeiros,2.1336634,0.52586627,0.25134,0.14300000000000002,2095440457.150495,4.309999942779541,Small Caps,85,2.01999994131199,30.29999911967985,85.78,58.0,Baixo,🟢
BSLI3,BRB BANCO   ON,Financial Services,Serviços Financeiros,2.2821784,0.5624695,0.25134,0.1266,2285162692.202674,4.610000133514404,Small Caps,85,2.0199998972536086,30.29999845880413,84.79,58.0,Baixo,🟢
BAZA3,AMAZONIA    ON,Financial Services,Serviços Financeiros,4.007167,0.6455561,0.15239,0.0958,4701611033.018761,83.87000274658203,Small Caps,85,20.929999360291706,313.94999040437557,73.29,52.0,Baixo,🟢
BRSR6,BANRISUL    PNB     N1,Financial Services,Serviços Financeiros,4.143198,0.61944693,0.1567,0.0636,7099797170.338211,17.360000610351562,Small Caps,85,4.190000239030711,62.85000358546067,72.38,52.0,Baixo,🟢
BNBR3,NORD BRASIL ON,Financial Services,Serviços Financeiros,4.266876,0.7757316,0.19412,0.0495,12040382502.5,121.99,Mid Caps,85,28.590003552950684,428.85005329426025,71.55,52.0,Baixo,🟢
BRSR5,BANRISUL    PNA     N1,Financial Services,Serviços Financeiros,4.484487,0.67047286,0.1567,0.057300000000000004,7684630422.83,18.79,Small Caps,85,4.189999881814798,62.849998227221974,70.1,46.0,Baixo,🟢
BRSR3,BANRISUL    ON      N1,Financial Services,Serviços Financeiros,4.529833,0.6772525,0.1567,0.0567,7762335386.246342,18.979999542236328,Small Caps,85,4.189999839339845,62.84999759009767,69.8,46.0,Baixo,🟢
JHSF3,JHSF PART   ON      NM,Real Estate,Imobiliário,4.6894736,0.94415593,0.20974001,0.0956,5958225216.832623,8.90999984741211,Small Caps,85,1.9000000015805845,28.50000002370877,68.74,58.0,Baixo,🟢
COGN3,COGNA ON    ON      NM,Consumer Defensive,Consumo Defensivo,4.75,0.4753714,0.10893,0.0593,6066587972.8343525,3.0399999618530273,Small Caps,65,0.6399999919690584,9.599999879535876,68.33,34.0,Baixo,🟢
ABCB4,ABC BRASIL  PN      N2,Financial Services,Serviços Financeiros,4.9476633,0.9445138,0.15463,0.1191,6389776068.415895,26.469999313354492,Small Caps,85,5.3500001330637215,80.25000199595583,67.02,52.0,Baixo,🟢
SUZB3,SUZANO S.A. ON      NM,Basic Materials,Materiais Básicos,4.950971,1.5097746,0.35192,0.0209,66155903977.84023,53.52000045776367,Blue Chips,60,10.8100007973716,162.150011960574,66.99,40.0,Baixo,🟢
CMIG4,CEMIG       PN      N1,Utilities,Utilidades Públicas,5.263158,1.194862,0.1416,0.1408,37854616140.0,12.0,Mid Caps,80,2.279999954400001,34.19999931600002,64.91,40.0,Baixo,🟢
CYRE3,CYRELA REALTON      NM,Consumer Cyclical,Consumo Cíclico,5.390873,0.95390236,0.20085,0.1429,9953644078.300047,27.170000076293945,Small Caps,85,5.040000028992326,75.60000043488489,64.06,58.0,Baixo,🟢
EMAE4,EMAE        PN,Utilities,Utilidades Públicas,5.46837,1.0709776,0.23438999,0.0978,3840762299.6395226,44.95000076293945,Small Caps,85,8.219999883500833,123.2999982525125,63.54,52.0,Baixo,🟢
PETR4,PETROBRAS   PN      N2,Energy,Energia,5.537897,1.4042158,0.28176,0.1038,583859584239.9773,45.29999923706055,Blue Chips,100,8.180000320890862,122.70000481336294,63.08,58.0,Baixo,🟢
PINE3,PINE        ON      N2,Financial Services,Serviços Financeiros,5.8974357,2.0806947,0.33765998,0.036699999999999997,2824866842.5,11.5,Small Caps,45,1.9500000652826108,29.25000097923916,60.68,40.0,Baixo,🟢
BLAU3,BLAU        ON      NM,Healthcare,Saúde,6.052941,1.0113022,0.14319,0.0793,2376835239.878623,10.289999961853027,Small Caps,65,1.7000000432604627,25.50000064890694,59.65,34.0,Baixo,🟢
PINE4,PINE        PN      N2,Financial Services,Serviços Financeiros,6.0564103,2.1367831,0.33765998,0.0364,2820586876.2072153,11.8100004196167,Small Caps,45,1.9500000552500052,29.25000082875008,59.62,40.0,Baixo,🟢
RECV3,PETRORECSA  ON      NM,Energy,Energia,6.080189,0.82755524,0.13571,0.1499,3776483452.765932,12.890000343322754,Small Caps,65,2.1199999446271742,31.799999169407613,59.47,40.0,Baixo,🟢
SAPR4,SANEPAR     PN      N2,Utilities,Utilidades Públicas,6.1007752,0.19263719,0.17944999,0.0291,11893187261.586254,7.869999885559082,Mid Caps,85,1.2899999799302688,19.349999698954033,59.33,46.0,Baixo,🟢
CEAB3,CEA MODAS   ON      NM,Consumer Cyclical,Consumo Cíclico,6.111111,0.9437817,0.16736999,0.08130000000000001,3498660615.476324,11.550000190734863,Small Caps,85,1.890000065574797,28.350000983621957,59.26,52.0,Baixo,🟢
POMO4,MARCOPOLO   PN      N2,Industrials,Indústria,6.1122446,1.888994,0.30973,0.1945,7431142369.771156,5.989999771118164,Small Caps,60,0.9800000103265114,14.70000015489767,59.25,46.0,Baixo,🟢
PETR3,PETROBRAS   ON      N2,Energy,Energia,6.1198044,1.551767,0.28176,0.0791,645209979715.6409,50.060001373291016,Blue Chips,75,8.18000022570836,122.70000338562541,59.2,52.0,Baixo,🟢
GMAT3,GRUPO MATEUSON      NM,Consumer Cyclical,Consumo Cíclico,6.1547623,1.1385158,0.18402,0.048600000000000004,11891246376.049707,5.170000076293945,Mid Caps,85,0.8399999584539513,12.599999376809269,58.97,46.0,Baixo,🟢
