Ticker,setor_original,Setor,PL,PVP,ROE,DivYield,MarketCap,Preco,Categoria,Score,PrecoJusto,Desconto_%
PRIO3,Energy,Energia,4.4323435,1.6777015,0.45543,0.0,43556364288,53.72,Mid Caps,60,181.8,70.45
ABCB4,Financial Services,Serviços Financeiros,5.080374,0.9698484,0.15463,10.97,6561168384,27.18,Small Caps,85,80.25,66.13
SUZB3,Basic Materials,Materiais Básicos,5.3687615,1.6386921,0.35192,1.89,71804870656,58.09,Blue Chips,75,162.3,64.21
COGN3,Consumer Defensive,Consumo Defensivo,5.484375,0.54886633,0.10893,4.94,7004514816,3.51,Small Caps,65,9.6,63.44
CYRE3,Consumer Cyclical,Consumo Cíclico,6.1210318,1.0831022,0.20085,12.02,11301799936,30.85,Mid Caps,100,75.6,59.19
PETR4,Energy,Energia,7.144665,1.2040592,0.19022,11.71,530917818368,39.51,Blue Chips,100,82.95,52.37
BBSE3,Financial Services,Serviços Financeiros,7.4860215,6.5077586,0.89815,14.85,67573690368,34.81,Blue Chips,75,69.75,50.09
PETR3,Energy,Energia,7.7233267,1.3015786,0.19022,10.85,550477758464,42.71,Blue Chips,100,82.95,48.51
ALUP11,Utilities,Utilidades Públicas,8.55979,1.3082812,0.14232999,2.65,16274026496,35.72,Mid Caps,80,62.59,42.93
BRAP4,Financial Services,Serviços Financeiros,9.166666,1.0663507,0.12597,13.99,9729140736,24.75,Small Caps,65,40.5,38.89
UGPA3,Energy,Energia,9.630596,1.6827487,0.18759,6.55,27584731136,25.81,Mid Caps,75,40.2,35.8
BBDC4,Financial Services,Serviços Financeiros,9.938967,1.2550391,0.13754,1.09,223915343872,21.17,Blue Chips,80,31.95,33.74
ITSA4,Industrials,Indústria,10.347826,1.732379,0.17063,0.66,160098025472,14.28,Blue Chips,50,20.7,31.01
CPFE3,Utilities,Utilidades Públicas,10.592828,2.5519695,0.25479,5.41,57854697472,50.21,Blue Chips,50,71.1,29.38
BBAS3,Financial Services,Serviços Financeiros,11.2625,0.8335647,0.08884,1.03,154297466880,27.03,Blue Chips,55,36.0,24.92
LREN3,Consumer Cyclical,Consumo Cíclico,11.701492,1.5269257,0.13555999,5.68,15400884224,15.68,Mid Caps,30,20.1,21.99
CMIN3,Basic Materials,Materiais Básicos,12.155556,2.9424422,0.25948998,9.48,29713283072,5.47,Mid Caps,50,6.75,18.96
EGIE3,Utilities,Utilidades Públicas,12.593985,2.9996417,0.2182,4.62,38269440000,33.5,Mid Caps,50,39.9,16.04
IRBR3,Financial Services,Serviços Financeiros,12.966527,0.95222,0.10587,0.0,5058986496,61.98,Small Caps,25,71.7,13.56
GGBR4,Basic Materials,Materiais Básicos,13.979866,0.7677848,0.025339998,1.9,41143578624,20.83,Mid Caps,55,22.35,6.8
CAML3,Consumer Defensive,Consumo Defensivo,14.934782,0.67952526,0.04689,11.03,2343159296,6.87,Small Caps,40,6.9,0.43
MULT3,Real Estate,Imobiliário,15.269565,2.7281907,0.19108,3.43,17205008384,35.12,Mid Caps,50,34.5,-1.8
FLRY3,Healthcare,Saúde,15.372726,1.7082533,0.10616,10.96,9216211968,16.91,Small Caps,15,16.5,-2.48
ABEV3,Consumer Defensive,Consumo Defensivo,17.494623,2.8898757,0.16976999,14.54,254080876544,16.27,Blue Chips,50,13.95,-16.63
B3SA3,Financial Services,Serviços Financeiros,19.47826,4.647303,0.24938999,3.31,89829441536,17.92,Blue Chips,50,13.8,-29.86
MGLU3,Consumer Cyclical,Consumo Cíclico,19.583332,0.6524153,0.033099998,3.03,7645948416,9.4,Small Caps,40,7.2,-30.56
VIVT3,Communication Services,Comunicação,22.649214,2.0116253,0.08901,2.6,138241916928,43.26,Blue Chips,30,28.65,-50.99
GOAU4,Basic Materials,Materiais Básicos,25.86111,0.6447369,0.025220001,2.12,12333882368,9.31,Mid Caps,55,5.4,-72.41
TOTS3,Technology,Tecnologia,26.851065,4.357735,0.16139999,1.6,22248382464,37.86,Mid Caps,50,21.15,-79.01
RENT3,Industrials,Indústria,30.608435,2.131471,0.06967,4.09,53578354688,50.81,Blue Chips,30,24.9,-104.06
KLBN11,Basic Materials,Materiais Básicos,31.149773,3.203672,0.14569001,7.86,146313805824,20.59,Blue Chips,30,9.92,-107.56
VALE3,Basic Materials,Materiais Básicos,31.361704,2.0484552,0.05867,7.73,377530908672,88.44,Blue Chips,30,42.3,-109.08
RADL3,Healthcare,Saúde,31.746834,6.265301,0.20379,1.49,43826601984,25.08,Mid Caps,50,11.85,-111.65
