Ticker,setor_original,Setor,PL,PVP,ROE,DivYield,MarketCap,Preco,Categoria,Score,PrecoJusto,Desconto_%,Ranking
BNBR3,Financial Services,Serviços Financeiros,4.2742214,0.777067,0.19412,4.94,12061109248,122.2,Mid Caps,100,428.85,71.50518829427538,135.7525941471377
CYRE3,Consumer Cyclical,Consumo Cíclico,5.928571,1.0490468,0.20085,12.99,10946443264,29.88,Mid Caps,100,75.6,60.47619047619048,130.23809523809524
SAPR4,Utilities,Utilidades Públicas,6.181818,0.22775483,0.18868999,2.62,12790676480,8.16,Mid Caps,100,19.8,58.78787878787879,129.3939393939394
ALLD3,Technology,Tecnologia,1.9779613,0.4020832,0.2195,32.43,687059840,7.18,Small Caps,85,54.45,86.81359044995409,128.40679522497703
GMAT3,Consumer Cyclical,Consumo Cíclico,6.559524,1.2133892,0.18402,4.58,12673262592,5.51,Mid Caps,100,12.6,56.26984126984127,128.13492063492063
BSLI4,Financial Services,Serviços Financeiros,2.2475247,0.55392873,0.25134,14.36,2207262208,4.54,Small Caps,85,30.3,85.01650165016503,127.50825082508251
BSLI3,Financial Services,Serviços Financeiros,2.371287,0.5844314,0.25134,14.38,2374388224,4.79,Small Caps,85,30.3,84.1914191419142,127.0957095709571
PETR4,Energy,Energia,7.166667,1.2186872,0.19022,11.33,537367871488,40.02,Blue Chips,100,83.76,52.220630372492835,126.11031518624642
BMKS3,Consumer Cyclical,Consumo Cíclico,2.893178,0.7034754,0.26644,32.21,172800448,379.99,Small Caps,85,1970.1,80.71214659154357,125.35607329577178
SAPR3,Utilities,Utilidades Públicas,7.3939395,0.27241266,0.18868999,1.91,14749366272,9.76,Mid Caps,100,19.8,50.70707070707071,125.35353535353536
ENGI4,Utilities,Utilidades Públicas,7.67939,0.20811354,0.19867,6.63,30066575360,10.06,Mid Caps,100,19.65,48.80407124681933,124.40203562340966
EALT4,Industrials,Indústria,3.2516856,0.9055069,0.33297002,3.29,348894464,14.47,Small Caps,85,66.75,78.32209737827715,124.16104868913857
EALT3,Industrials,Indústria,3.269663,0.91051316,0.33297002,8.22,327375008,14.55,Small Caps,85,66.75,78.20224719101124,124.10112359550561
