Ticker,Empresa,setor_original,Setor,PL,PVP,ROE,DivYield,MarketCap,Preco,Categoria,Score,PrecoJusto,Desconto_%,Ranking,Risco
CYRE3,CYRELA REALTON      NM,Consumer Cyclical,Consumo Cíclico,5.7599206,1.0192045,0.20085,0.12789999999999999,10635048960,29.03,Mid Caps,100,75.6,61.6005291005291,88.48015873015873,Baixo
PETR4,PETROBRAS   PN  ATZ N2,Energy,Energia,7.0544815,1.2232584,0.19022,0.11449999999999999,539383463936,40.14,Blue Chips,100,85.35,52.97012302284709,85.89103690685413,Baixo
BSLI4,BRB BANCO   PN,Financial Services,Serviços Financeiros,2.2079208,0.5441679,0.25134,0.1436,2168367616,4.46,Small Caps,85,30.3,85.28052805280528,85.08415841584157,Baixo
BSLI3,BRB BANCO   ON,Financial Services,Serviços Financeiros,2.420792,0.5966325,0.25134,0.1186,2423957760,4.89,Small Caps,85,30.3,83.86138613861385,84.65841584158414,Baixo
PETR3,PETROBRAS   ON      N2,Energy,Energia,7.6766257,1.3311392,0.19022,0.10529999999999999,562979864576,43.68,Blue Chips,100,85.35,48.82249560632689,84.64674868189806,Baixo
ENGI4,ENERGISA    PN      N2,Utilities,Utilidades Públicas,7.7862597,0.21100974,0.19867,0.0636,30484994048,10.2,Mid Caps,100,19.65,48.091603053435115,84.42748091603053,Baixo
TAEE3,TAESA       ON      N2,Utilities,Utilidades Públicas,8.383234,0.6308295,0.23587999,0.0758,14514948096,14.0,Mid Caps,100,25.05,44.11177644710579,83.23353293413173,Baixo
TAEE4,TAESA       PN      N2,Utilities,Utilidades Públicas,8.491018,0.6389402,0.23587999,0.0747,14654983168,14.18,Mid Caps,100,25.05,43.39321357285429,83.01796407185628,Baixo
EALT3,ACO ALTONA  ON,Industrials,Indústria,3.2719104,0.91113895,0.33297002,0.0791,327600000,14.56,Small Caps,85,66.75,78.18726591760299,82.95617977528089,Baixo
BAZA3,AMAZONIA    ON,Financial Services,Serviços Financeiros,4.202961,0.67742205,0.15239,0.0915,4933692416,88.01,Small Caps,85,314.1,71.98026106335563,81.09407831900668,Baixo
BNBR3,NORD BRASIL ON,Financial Services,Serviços Financeiros,4.268719,0.7757952,0.19412,0.0495,12041369600,122.0,Mid Caps,85,428.7,71.5418707721017,80.9625612316305,Baixo
BRSR6,BANRISUL    PNB     N1,Financial Services,Serviços Financeiros,4.3508353,0.65049064,0.1567,0.07919999999999999,7455604224,18.23,Small Caps,85,62.85,70.99443118536199,80.79832935560859,Baixo
BRSR5,BANRISUL    PNA     N1,Financial Services,Serviços Financeiros,4.484487,0.67047286,0.1567,0.0679,7684630528,18.79,Small Caps,85,62.85,70.10342084327765,80.53102625298328,Baixo
ENGI3,ENERGISA    ON      N2,Utilities,Utilidades Públicas,9.847328,0.26686525,0.19867,0.050199999999999995,32438272000,12.9,Mid Caps,100,19.65,34.351145038167935,80.30534351145037,Baixo
BRSR3,BANRISUL    ON      N1,Financial Services,Serviços Financeiros,4.644391,0.69438,0.1567,0.0663,7958642688,19.46,Small Caps,85,62.85,69.03739061256961,80.21121718377087,Baixo
JHSF3,JHSF PART   ON  ED  NM,Real Estate,Imobiliário,4.8578944,0.978065,0.20974001,0.087,6172212736,9.23,Small Caps,85,28.5,67.61403508771929,79.78421052631577,Baixo
ABCB4,ABC BRASIL  PN      N2,Financial Services,Serviços Financeiros,4.9345794,0.94201607,0.15463,0.11460000000000001,6372878336,26.4,Small Caps,85,80.25,67.10280373831776,79.63084112149532,Baixo
BGIP4,BANESE      PN,Financial Services,Serviços Financeiros,5.014175,0.9485154,0.15865,0.1472,892854528,38.91,Small Caps,85,116.4,66.57216494845362,79.47164948453607,Baixo
CEEB5,COELBA      PNA,Utilities,Utilidades Públicas,5.2558784,1.2690779,0.25589,0.15839999999999999,9959651328,38.0,Small Caps,85,108.45,64.96081143384048,78.98824343015214,Baixo
EMAE4,EMAE        PN,Utilities,Utilidades Públicas,5.7408757,1.1243477,0.23438999,0.0978,4032159232,47.19,Small Caps,85,123.3,61.72749391727494,78.01824817518248,Baixo
DEXP4,DEXXOS PAR  PN      N1,Basic Materials,Materiais Básicos,5.88,0.8547505,0.15665,0.0836,886192384,7.35,Small Caps,85,18.75,60.8,77.74,Baixo
RSUL4,RIOSULENSE  PN,Consumer Cyclical,Consumo Cíclico,5.93692,1.4184397,0.26481,0.07490000000000001,388616192,64.0,Small Caps,85,161.7,60.42053184910328,77.62615955473098,Baixo
DEXP3,DEXXOS PAR  ON      N1,Basic Materials,Materiais Básicos,5.9919996,0.87103146,0.15665,0.1109,903072192,7.49,Small Caps,85,18.75,60.053333333333335,77.51599999999999,Baixo
CAMB3,CAMBUCI     ON,Consumer Cyclical,Consumo Cíclico,5.9999995,1.2760801,0.22233999,0.1121,396639168,9.48,Small Caps,85,23.7,60.0,77.5,Baixo
SAPR4,SANEPAR     PN      N2,Utilities,Utilidades Públicas,6.2790704,0.19826701,0.18868999,0.0275,12696628224,8.1,Mid Caps,85,19.35,58.139534883720934,76.94186046511626,Baixo
VTRU3,VITRUEDUCA  ON      NM,Consumer Defensive,Consumo Defensivo,6.279816,0.6454198,0.18058,0.16,1829703040,13.69,Small Caps,85,32.7,58.13455657492356,76.94036697247705,Baixo
GMAT3,GRUPO MATEUSON      NM,Consumer Cyclical,Consumo Cíclico,6.2857146,1.1627395,0.18402,0.0461,12144251904,5.28,Mid Caps,85,12.6,58.09523809523809,76.92857142857142,Baixo
CEAB3,CEA MODAS   ON      NM,Consumer Cyclical,Consumo Cíclico,6.3333335,0.978101,0.16736999,0.0745,3625884672,11.97,Small Caps,85,28.35,57.777777777777786,76.83333333333333,Baixo
CMIG4,CEMIG       PN      N1,Utilities,Utilidades Públicas,5.0964913,1.1570247,0.1416,0.1398,36655886336,11.62,Mid Caps,80,34.2,66.02339181286551,75.80701754385966,Baixo
LPSB3,LOPES BRASILON      NM,Real Estate,Imobiliário,7.0689654,1.0817941,0.20635,0.0889,281439904,2.05,Small Caps,85,4.35,52.87356321839081,75.36206896551724,Baixo
CLSC3,CELESC      ON      N2,Utilities,Utilidades Públicas,7.2266903,1.210515,0.19126,0.0594,5475208192,124.01,Small Caps,85,257.4,51.82206682206682,75.04662004662003,Baixo
SHUL4,SCHULZ      PN,Consumer Cyclical,Consumo Cíclico,7.3013697,1.2252873,0.17659001,0.0783,1900433920,5.33,Small Caps,85,10.95,51.324200913242,74.89726027397259,Baixo
SAPR3,SANEPAR     ON      N2,Utilities,Utilidades Públicas,7.310078,0.23082195,0.18868999,0.0212,14250668032,9.43,Mid Caps,85,19.35,51.26614987080104,74.87984496124031,Baixo
EQMA3B,EQUATORIAL MARANHA,Utilities,Utilidades Públicas,7.4681315,1.2869749,0.17863001,0.0806,5578969088,33.98,Small Caps,85,68.25,50.21245421245422,74.56373626373626,Baixo
BGIP3,BANESE      ON,Financial Services,Serviços Financeiros,7.7654634,1.4689678,0.15865,0.08560000000000001,1308147712,60.26,Small Caps,85,116.4,48.23024054982818,73.96907216494844,Baixo
BPAC5,BTGP BANCO  PNA     N2,Financial Services,Serviços Financeiros,7.864286,0.75727355,0.23868,0.0407,127580078080,11.01,Blue Chips,85,21.0,47.57142857142857,73.77142857142856,Baixo
EALT4,ACO ALTONA  PN,Industrials,Indústria,3.3415732,0.9305382,0.33297002,0.031400000000000004,358539072,14.87,Small Caps,70,66.75,77.72284644194757,72.31685393258427,Baixo
CLSC4,CELESC      PN      N2,Utilities,Utilidades Públicas,8.65035,1.4489868,0.19126,0.0545,5725566976,148.44,Small Caps,85,257.4,42.331002331002324,72.1993006993007,Baixo
ISAE4,ISA ENERGIA PN  EJ  N1,Utilities,Utilidades Públicas,7.5067387,0.86754715,0.14341,0.09269999999999999,18349901824,27.85,Mid Caps,80,55.65,49.9550763701707,70.98652291105121,Baixo
INTB3,INTELBRAS   ON      NM,Technology,Tecnologia,9.405405,1.4519663,0.1566,0.10189999999999999,4555596288,13.92,Small Caps,85,22.2,37.29729729729729,70.68918918918918,Baixo
CEEB3,COELBA      ON,Utilities,Utilidades Públicas,6.569848,1.5863473,0.25589,0.1267,12449563648,47.5,Mid Caps,75,108.45,56.2010142923006,69.36030428769018,Baixo
ISAE3,ISA ENERGIA ON      N1,Utilities,Utilidades Públicas,8.884097,1.0267272,0.14341,0.0797,21716793344,32.96,Mid Caps,80,55.65,40.77268643306379,68.23180592991913,Baixo
LUXM4,TREVISA     PN,Industrials,Indústria,5.5263157,1.041925,0.27951,0.0277,174585600,4.2,Small Caps,70,11.4,63.1578947368421,67.94736842105263,Baixo
BBSE3,BBSEGURIDADEON      NM,Financial Services,Serviços Financeiros,7.354839,6.3937187,0.89815,0.1517,66389549056,34.2,Blue Chips,75,69.75,50.967741935483865,67.79032258064515,Baixo
SANB3,SANTANDER BRON,Financial Services,Serviços Financeiros,9.957055,0.6338606,0.12748,0.051500000000000004,123512004608,16.23,Blue Chips,80,24.45,33.619631901840485,66.08588957055214,Baixo
EQPA3,EQTL PARA   ON,Utilities,Utilidades Públicas,8.4800005,2.768829,0.3318,0.1015,14053655552,6.36,Mid Caps,75,11.25,43.46666666666666,65.53999999999999,Baixo
COGN3,COGNA ON    ON      NM,Consumer Defensive,Consumo Defensivo,5.046875,0.5050821,0.10893,0.053099999999999994,6445749760,3.23,Small Caps,65,9.6,66.35416666666666,65.40625,Baixo
RECV3,PETRORECSA  ON      NM,Energy,Energia,5.9481134,0.8095788,0.13571,0.1539,3694449408,12.61,Small Caps,65,31.8,60.34591194968554,63.60377358490566,Baixo
REDE3,REDE ENERGIAON,Utilities,Utilidades Públicas,9.661539,3.1845844,0.30802,0.09369999999999999,16128323584,6.28,Mid Caps,75,9.75,35.58974358974359,63.176923076923075,Baixo
UGPA3,ULTRAPAR    ON      NM,Energy,Energia,9.720149,1.6930976,0.16381,0.0677,27841232896,26.05,Mid Caps,75,40.2,35.19900497512438,63.059701492537314,Baixo
BLAU3,BLAU        ON      NM,Healthcare,Saúde,6.2999997,1.0525799,0.14319,0.0723,2473848832,10.71,Small Caps,65,25.5,57.99999999999999,62.9,Baixo
CGRA4,GRAZZIOTIN  PN,Consumer Cyclical,Consumo Cíclico,6.4245286,0.6779155,0.10784,0.0716,641330880,27.24,Small Caps,65,63.6,57.16981132075472,62.65094339622641,Baixo
CPFE3,CPFL ENERGIAON      NM,Utilities,Utilidades Públicas,9.974684,2.4030495,0.25479,0.0579,54478589952,47.28,Blue Chips,75,71.1,33.50210970464134,62.5506329113924,Baixo
TECN3,TECHNOS     ON      NM,Consumer Cyclical,Consumo Cíclico,8.34,1.1690496,0.16256,0.048799999999999996,505925152,8.34,Small Caps,70,15.0,44.4,62.32,Baixo
CGRA3,GRAZZIOTIN  ON,Consumer Cyclical,Consumo Cíclico,6.7500005,0.71225923,0.10784,0.0683,673821248,28.62,Small Caps,65,63.6,55.00000000000001,62.0,Baixo
EUCA4,EUCATEX     PN      N1,Industrials,Indústria,6.8248405,0.7042161,0.10971,0.0516,2054765312,21.43,Small Caps,65,47.1,54.50106157112526,61.85031847133757,Baixo
LOGG3,LOG COM PROPON      NM,Real Estate,Imobiliário,6.8918915,0.6766863,0.100439996,0.1418,2451969024,28.05,Small Caps,65,61.05,54.054054054054056,61.71621621621622,Baixo
VLID3,VALID       ON      NM,Industrials,Indústria,6.9407897,0.96171373,0.14046,0.1525,1653707136,21.1,Small Caps,65,45.6,53.72807017543859,61.618421052631575,Baixo
MELK3,MELNICK     ON      NM,Real Estate,Imobiliário,7.1886797,0.7134831,0.13416,0.1448,783019968,3.81,Small Caps,65,7.95,52.07547169811322,61.12264150943396,Baixo
PINE3,PINE        ON      N2,Financial Services,Serviços Financeiros,5.6122446,1.9902298,0.33765998,0.061,2607129088,11.0,Small Caps,60,29.4,62.585034013605444,60.775510204081634,Baixo
PINE4,PINE        PN      N2,Financial Services,Serviços Financeiros,5.617347,1.9920391,0.33765998,0.053200000000000004,2609499136,11.01,Small Caps,60,29.4,62.55102040816327,60.765306122448976,Baixo
CSED3,CRUZEIRO EDUON      NM,Consumer Defensive,Consumo Defensivo,9.159421,1.3911512,0.16102,0.0425,2303909120,6.32,Small Caps,70,10.35,38.93719806763284,60.68115942028985,Baixo
BRAP3,BRADESPAR   ON      N1,Financial Services,Serviços Financeiros,7.5,0.87246877,0.12597,0.1561,8415045120,20.25,Small Caps,65,40.5,50.0,60.5,Baixo
EZTC3,EZTEC       ON      NM,Real Estate,Imobiliário,7.55102,0.7996974,0.10967,0.0806,4104913920,14.8,Small Caps,65,29.4,49.65986394557822,60.397959183673464,Baixo
TRIS3,TRISUL      ON      NM,Real Estate,Imobiliário,7.706522,1.0435679,0.14347,0.1509,1655579520,7.09,Small Caps,65,13.8,48.62318840579711,60.08695652173913,Baixo
SMTO3,SAO MARTINHOON      NM,Basic Materials,Materiais Básicos,7.7155175,0.95696336,0.11124,0.0513,5777641472,17.9,Small Caps,65,34.8,48.56321839080459,60.06896551724138,Baixo
WLMM4,WLM IND COM PN,Consumer Cyclical,Consumo Cíclico,7.8143325,1.0572474,0.14849,0.09849999999999999,873587968,23.99,Small Caps,65,46.05,47.904451682953315,59.87133550488599,Baixo
WLMM3,WLM IND COM ON,Consumer Cyclical,Consumo Cíclico,7.8175898,1.0576881,0.14849,0.0872,879554944,24.0,Small Caps,65,46.05,47.88273615635179,59.86482084690554,Baixo
NEOE3,NEOENERGIA  ON      NM,Utilities,Utilidades Públicas,7.922705,1.0922047,0.14588,0.044500000000000005,39812550656,32.8,Mid Caps,65,62.1,47.18196457326893,59.65458937198068,Baixo
ALUP11,ALUPAR      UNT     N2,Utilities,Utilidades Públicas,8.171579,1.248947,0.14232999,0.0277,15535953920,34.1,Mid Caps,65,62.6,45.52715654952076,59.15814696485623,Baixo
POMO3,MARCOPOLO   ON      N2,Industrials,Indústria,6.589474,1.7931826,0.29189,0.18100000000000002,7766103040,6.26,Small Caps,60,14.25,56.07017543859649,58.82105263157895,Baixo
EVEN3,EVEN        ON      NM,Real Estate,Imobiliário,8.3404255,0.77669907,0.104119994,0.0969,1535205120,7.84,Small Caps,65,14.1,44.39716312056737,58.81914893617021,Baixo
BRAP4,BRADESPAR   PN      N1,Financial Services,Serviços Financeiros,8.633333,1.0043085,0.12597,0.1479,9163081728,23.33,Small Caps,65,40.53,42.437700468788556,58.231310140636566,Baixo
POMO4,MARCOPOLO   PN      N2,Industrials,Indústria,6.9789476,1.8991693,0.29189,0.17120000000000002,8225121792,6.63,Small Caps,60,14.25,53.473684210526315,58.04210526315789,Baixo
LAVV3,LAVVI       ON      NM,Real Estate,Imobiliário,7.597458,2.2716331,0.28968,0.10460000000000001,3504137984,17.93,Small Caps,60,35.4,49.35028248587571,56.80508474576271,Baixo
ALUP4,ALUPAR      PN      N2,Utilities,Utilidades Públicas,9.365218,0.39446217,0.14232999,0.0294,11542733824,10.77,Mid Caps,65,17.25,37.56521739130435,56.7695652173913,Baixo
MDNE3,MOURA DUBEUXON      NM,Real Estate,Imobiliário,7.733813,1.5061647,0.20983,0.1446,3359132416,32.25,Small Caps,60,62.55,48.44124700239808,56.53237410071942,Baixo
WIZC3,WIZ CO      ON      NM,Financial Services,Serviços Financeiros,7.848739,2.1402385,0.27255,0.059699999999999996,1493534080,9.34,Small Caps,60,17.85,47.675070028011206,56.30252100840336,Baixo
VITT3,VITTIA      ON      NM,Basic Materials,Materiais Básicos,9.952381,0.99642426,0.10196,0.0663,613450816,4.18,Small Caps,65,6.3,33.65079365079365,55.595238095238095,Baixo
CSUD3,CSU DIGITAL ON      NM,Technology,Tecnologia,8.379913,1.5566192,0.19412,0.1362,793501312,19.19,Small Caps,60,34.35,44.13391557496361,55.24017467248908,Baixo
CMIG3,CEMIG       ON      N1,Utilities,Utilidades Públicas,6.6666665,1.513492,0.1416,0.1079,43482365952,15.2,Mid Caps,55,34.2,55.55555555555556,55.16666666666667,Baixo
EKTR4,ELEKTRO     PN,Utilities,Utilidades Públicas,8.444681,3.7677991,0.47262,0.0977,7690305024,39.69,Small Caps,60,70.5,43.70212765957447,55.11063829787234,Baixo
PLPL3,PLANOEPLANO ON      NM,Real Estate,Imobiliário,8.897436,2.846012,0.38394,0.1056,2816387840,13.88,Small Caps,60,23.4,40.68376068376068,54.205128205128204,Baixo
MRSA5B,MRS LOGISTICA,Industrials,Indústria,9.341121,1.5546137,0.18652001,0.0262,14576903168,39.98,Mid Caps,60,64.2,37.725856697819324,53.3177570093458,Baixo
KEPL3,KEPLER WEBERON      NM,Industrials,Indústria,9.355556,1.884934,0.1879,0.0649,1459454208,8.42,Small Caps,60,13.5,37.629629629629626,53.28888888888889,Baixo
WHRL3,WHIRLPOOL   ON,Consumer Cyclical,Consumo Cíclico,9.404256,3.0995793,0.30252,0.1084,6711547392,4.42,Small Caps,60,7.05,37.30496453900709,53.191489361702125,Baixo
TGMA3,TEGMA       ON      NM,Industrials,Indústria,9.478469,2.6542506,0.29378998,0.11130000000000001,2612454400,39.62,Small Caps,60,62.7,36.810207336523135,53.04306220095694,Baixo
PSSA3,PORTO SEGUROON      NM,Financial Services,Serviços Financeiros,9.671784,2.0498738,0.22815001,0.0479,32256862208,50.39,Mid Caps,60,78.15,35.52143314139476,52.65642994241843,Baixo
UNIP3,UNIPAR      ON,Basic Materials,Materiais Básicos,9.691376,2.894582,0.29680002,0.14279999999999998,7150514688,64.06,Small Caps,60,99.15,35.390821986888554,52.617246596066565,Baixo
EUCA3,EUCATEX     ON      N1,Industrials,Indústria,6.8917193,0.7111169,0.10971,0.0473,1993800832,21.64,Small Caps,50,47.1,54.0552016985138,51.21656050955414,Baixo
IGTI3,IGUATEMI S.AON  ED  N1,Real Estate,Imobiliário,6.9574466,0.22514458,0.13001001,0.029300000000000003,3944525824,3.27,Small Caps,50,7.05,53.61702127659574,51.08510638297872,Baixo
SANB4,SANTANDER BRPN,Financial Services,Serviços Financeiros,10.214724,0.6502636,0.12748,0.0547,126708252672,16.65,Blue Chips,55,24.45,31.90184049079755,48.07055214723927,Baixo
SBFG3,GRUPO SBF   ON      NM,Consumer Cyclical,Consumo Cíclico,8.514286,0.86426914,0.112220004,0.045599999999999995,2738302464,11.92,Small Caps,50,21.0,43.238095238095234,47.97142857142857,Baixo
BEES3,BANESTES    ON,Financial Services,Serviços Financeiros,8.867347,1.2462354,0.14352,0.0395,3019811072,8.69,Small Caps,50,14.7,40.8843537414966,47.265306122448976,Baixo
BEES4,BANESTES    PN,Financial Services,Serviços Financeiros,9.173469,1.2892585,0.14352,0.0388,3137484032,8.99,Small Caps,50,14.7,38.843537414965986,46.6530612244898,Baixo
ECOR3,ECORODOVIAS ON      NM,Industrials,Indústria,7.613636,1.6614318,0.22025,0.0301,6990993920,10.05,Small Caps,45,19.8,49.24242424242424,46.272727272727266,Baixo
LREN3,LOJAS RENNERON      NM,Consumer Cyclical,Consumo Cíclico,11.164179,1.4568118,0.13555999,0.0601,14693700608,14.96,Mid Caps,55,20.1,25.572139303482587,46.17164179104478,Baixo
TEND3,TENDA       ON      NM,Real Estate,Imobiliário,8.16035,2.7956452,0.37199003,0.0431,3391881216,27.99,Small Caps,45,51.45,45.59766763848397,45.17930029154519,Baixo
LEVE3,METAL LEVE  ON      NM,Consumer Cyclical,Consumo Cíclico,8.218604,5.462133,0.58611,0.0346,4789948416,35.34,Small Caps,45,64.5,45.20930232558139,45.062790697674416,Baixo
EQPA5,EQTL PARA   PNA,Utilities,Utilidades Públicas,10.599999,3.4610362,0.3318,0.08289999999999999,17562136576,7.95,Mid Caps,50,11.25,29.333333333333332,43.8,Baixo
OFSA3,OUROFINO S/AON      NM,Healthcare,Saúde,9.052238,1.8308052,0.19979,0.042199999999999994,1304402176,24.26,Small Caps,45,40.2,39.65174129353234,43.395522388059696,Baixo
VIVA3,VIVARA S.A. ON      NM,Consumer Cyclical,Consumo Cíclico,9.895238,2.4957962,0.28418,0.0433,7327188480,31.17,Small Caps,45,47.25,34.03174603174603,41.7095238095238,Baixo
CMIN3,CSNMINERACAOON      N2,Basic Materials,Materiais Básicos,11.733335,2.840237,0.25948998,0.0977,28681195520,5.28,Mid Caps,50,6.75,21.777777777777775,41.53333333333333,Baixo
ENMT3,ENERGISA MT ON,Utilities,Utilidades Públicas,11.848342,2.7607532,0.25207,0.11,10947096576,50.0,Mid Caps,50,63.3,21.01105845181674,41.30331753554502,Baixo
CURY3,CURY S/A    ON      NM,Real Estate,Imobiliário,12.231544,7.680152,0.6767,0.135,11266667520,36.45,Mid Caps,50,44.7,18.456375838926174,40.53691275167785,Baixo
CXSE3,CAIXA SEGURION      NM,Financial Services,Serviços Financeiros,12.265736,3.8831084,0.32463002,0.0742,52620001280,17.54,Blue Chips,50,21.45,18.22843822843823,40.46853146853147,Baixo
ENMT4,ENERGISA MT PN,Utilities,Utilidades Públicas,12.322275,2.8711832,0.25207,0.1058,11560317952,52.0,Mid Caps,50,63.3,17.851500789889414,40.355450236966824,Baixo
SANB11,SANTANDER BRUNT,Financial Services,Serviços Financeiros,16.03128,1.2809998,0.12748,0.053099999999999994,154829815808,32.8,Blue Chips,55,30.69,-6.875203649397184,36.43743890518085,Baixo
ALUP3,ALUPAR      ON      N2,Utilities,Utilidades Públicas,11.0,0.46331903,0.14232999,0.0253,12509338624,12.65,Mid Caps,40,17.25,26.666666666666668,36.0,Baixo
TIMS3,TIM         ON      NM,Communication Services,Comunicação,15.083799,2.6897788,0.17117001,0.1014,64494047232,27.0,Blue Chips,50,26.85,-0.5586592178770896,34.832402234636874,Baixo
WHRL4,WHIRLPOOL   PN,Consumer Cyclical,Consumo Cíclico,10.106383,3.3309958,0.30252,0.10880000000000001,7138233856,4.75,Small Caps,35,7.05,32.6241134751773,34.287234042553195,Baixo
KLBN4,KLABIN S/A  PN      N2,Basic Materials,Materiais Básicos,17.304348,0.61926246,0.14569001,0.08199999999999999,24418062336,3.98,Mid Caps,55,3.45,-15.362318840579704,33.891304347826086,Baixo
KLBN3,KLABIN S/A  ON      N2,Basic Materials,Materiais Básicos,17.347826,0.62081844,0.14569001,0.0818,24479414272,3.99,Mid Caps,55,3.45,-15.65217391304348,33.80434782608695,Baixo
UNIP6,UNIPAR      PNB,Basic Materials,Materiais Básicos,10.434191,3.116443,0.29680002,0.1459,7698579968,68.97,Small Caps,35,99.15,30.43872919818457,33.63161875945537,Baixo
UNIP5,UNIPAR      PNA,Basic Materials,Materiais Básicos,10.574886,3.1584654,0.29680002,0.1456,7802388480,69.9,Small Caps,35,99.15,29.500756429652043,33.35022692889561,Baixo
FIQE3,UNIFIQUE    ON      NM,Communication Services,Comunicação,10.58,1.6207108,0.16124001,0.159,2059008512,5.29,Small Caps,35,7.5,29.46666666666667,33.34,Baixo
ABEV3,AMBEV S/A   ON,Consumer Defensive,Consumo Defensivo,16.505377,2.7264655,0.16976999,0.153,239713665024,15.35,Blue Chips,50,13.95,-10.035842293906812,31.989247311827956,Baixo
CEBR5,CEB         PNA,Utilities,Utilidades Públicas,12.073171,2.1518621,0.18868,0.1528,2287921664,29.7,Small Caps,35,36.9,19.51219512195122,30.353658536585364,Baixo
